ground_truth,total,0,1,2,4,3,6,7,5,8,10,9,11,15,16,14,12,19,13,21,25,18,27,23,22,17,<null>,<error>,<other>
0,753,670,48,16,2,7,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1,216,97,60,19,9,17,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
2,109,39,31,12,8,5,3,0,2,2,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1
4,85,22,18,11,2,9,3,3,5,5,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2
3,80,20,23,8,6,4,0,1,4,1,2,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4
6,75,10,14,12,5,10,5,0,3,2,3,1,1,3,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1
7,64,3,12,11,3,7,2,2,3,3,3,2,1,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,6
5,58,6,12,8,2,9,4,2,2,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,4
8,48,3,6,2,3,7,5,1,3,9,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0
10,36,1,2,3,1,5,4,0,1,6,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,5
9,36,3,4,6,1,3,0,0,2,2,3,3,1,3,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1
11,33,0,1,5,3,4,0,0,3,1,1,4,0,1,2,0,0,0,1,0,0,0,0,1,0,2,0,0,4
15,33,0,2,1,2,2,2,1,0,1,1,4,0,1,0,1,0,1,0,0,1,1,2,0,1,2,0,0,7
16,31,3,2,2,1,3,1,1,2,2,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0,3,0,0,6
14,30,2,1,1,0,3,0,0,2,4,1,1,2,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,8
12,27,1,2,0,0,0,1,2,3,2,1,3,1,0,0,0,1,1,0,1,0,0,1,0,1,3,0,0,3
19,24,1,3,0,0,1,1,0,1,6,1,2,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,3
13,23,1,1,1,2,2,4,0,1,0,0,0,0,3,0,0,2,1,0,0,0,1,0,1,0,0,0,0,3
21,22,0,0,0,0,1,3,0,1,0,2,1,0,1,0,1,0,0,0,0,2,0,1,1,0,1,0,0,7
25,21,0,0,0,0,1,0,1,2,0,0,2,0,1,0,1,2,1,0,0,0,0,0,1,0,0,0,0,9
18,20,1,1,0,1,0,0,1,1,1,3,0,0,1,0,0,0,2,0,1,1,0,0,0,1,1,0,0,4
27,20,0,0,1,0,2,1,0,0,1,0,1,1,0,0,2,0,1,0,0,0,0,0,0,1,3,0,0,6
23,19,0,1,0,1,3,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,7
22,17,0,0,3,0,0,1,1,1,0,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5
17,17,1,1,1,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,7
<null>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
<error>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
<other>,1050,15,6,9,11,7,14,5,7,12,11,10,6,12,11,13,6,14,4,1,2,6,5,13,1,24,0,0,825
