confidence_bin,samples,average_confidence,accuracy,correct,incorrect
0.00-0.50,1738,0.16681664432447202,0.0661680092059839,115,1623
0.50-0.75,1072,0.6248452011217822,0.5746268656716418,616,456
0.75-0.90,881,0.8296732043299854,0.6662883087400681,587,294
0.90-1.00,6313,0.9887348285534105,0.9171550768255979,5790,523
