wording_pattern,samples,correct,accuracy,coverage,endpoint_errors,average_confidence
present,1480,1345,0.9087837837837838,1.0,0,0.9528577259666211
is-there,1475,1356,0.9193220338983051,1.0,0,0.9489855004569231
equal-to,1364,1339,0.9816715542521994,1.0,0,0.9880206119979232
more-than,1337,1113,0.8324607329842932,1.0,0,0.8756391109150563
less-than,1301,1089,0.8370484242890085,1.0,0,0.8761048590926186
amount-of,1000,298,0.298,1.0,0,0.479639894971624
number-of,985,237,0.24060913705583756,1.0,0,0.4534788767414801
how-many,962,241,0.2505197505197505,1.0,0,0.4567759766721645
rural-or-urban,100,90,0.9,1.0,0,0.9866629564762115
