group,samples,mean_iou,accuracy_at_0.25,accuracy_at_0.50,accuracy_at_0.75,average_confidence
clipped,40,0.3649438237567665,0.5,0.35,0.25,0.18408062346279622
unclipped,60,0.19740196678273303,0.25,0.23333333333333334,0.13333333333333333,0.18703804115454356
