metric,baseline,specialist,absolute_change,relative_change
mean_iou,0.12828522562101688,0.2644187095723464,0.13613348395132954,1.061178193297942
accuracy_at_0.25,0.22,0.35,0.12999999999999998,0.5909090909090908
accuracy_at_0.50,0.13,0.28,0.15000000000000002,1.1538461538461542
accuracy_at_0.75,0.06,0.18,0.12,2.0
null_rate,0.64,0.0,-0.64,-1.0
average_latency_ms,1169.14752,1231.3840220400002,62.23650204000023,0.053232377416324805
p95_latency_ms,1201.261,1428.115,226.85400000000004,0.1888465537464381
