group,samples,mean_iou,accuracy_at_0.25,accuracy_at_0.50,accuracy_at_0.75,null_rate,average_boxes,average_confidence
clipped,40,0.13000776358849578,0.225,0.125,0.05,0.7,0.325,0.5780814166666667
unclipped,60,0.12713686697603094,0.21666666666666667,0.13333333333333333,0.06666666666666667,0.6,0.48333333333333334,0.538453375
