dimension,group,samples,mean_iou,accuracy_at_0.25,accuracy_at_0.50,accuracy_at_0.75,null_rate,average_boxes,average_confidence
object_size,large,2,0.32307253135485237,1.0,0.0,0.0,0.0,1.0,0.7441455
object_size,small,89,0.13148638423670114,0.21348314606741572,0.14606741573033707,0.06741573033707865,0.6292134831460674,0.43820224719101125,0.5427839090909091
object_size,unspecified,9,0.05334325581395348,0.1111111111111111,0.0,0.0,0.8888888888888888,0.1111111111111111,0.459698
relative_size,largeest,4,0.09040145546903222,0.25,0.0,0.0,0.5,0.5,0.667722
relative_size,larger,2,0.20217435897435895,0.5,0.0,0.0,0.5,0.5,0.652203
relative_size,unspecified,94,0.12832519172634937,0.2127659574468085,0.13829787234042554,0.06382978723404255,0.648936170212766,0.4148936170212766,0.5415821515151515
