group,samples,mean_iou,accuracy_at_0.25,accuracy_at_0.50,accuracy_at_0.75,null_rate,average_boxes,average_confidence
non_unique,35,0.060599594714012675,0.11428571428571428,0.05714285714285714,0.0,0.6857142857142857,0.45714285714285713,0.5845772727272727
unique,65,0.16473133457094222,0.27692307692307694,0.16923076923076924,0.09230769230769231,0.6153846153846154,0.4,0.53718032
